mois,ventes,achats,charges,marge
2024-08-01,1379.5,1189.0,2922.0,-1542.5
2024-09-01,1806.3999999999999,1311.0,3038.0,-1231.6000000000001
2024-10-01,1515.8999999999999,1592.0,3307.0,-1791.1000000000001
2024-11-01,4560.7,1566.0,3328.0,1232.6999999999998
2024-12-01,3801.0,1239.0,3002.0,799.0
2025-01-01,2417.6,894.0,2659.0,-241.4000000000001
2025-02-01,1710.1,1698.0,3444.0,-1733.9
2025-03-01,2820.2,1489.0,3248.0,-427.8000000000002
2025-04-01,3457.7999999999997,1016.0,2730.0,727.7999999999997
2025-05-01,2990.7,1542.0,3265.0,-274.3000000000002
2025-06-01,3725.7,1709.0,3430.0,295.6999999999998
2025-07-01,3447.2,1495.0,3207.0,240.19999999999982
2025-08-01,3923.5,2514.0,4228.0,-304.5
2025-09-01,4187.9,1013.0,2734.0,1453.8999999999996
2025-10-01,4206.099999999999,1738.0,3473.0,733.0999999999995
2025-11-01,4562.4,1949.0,3700.0,862.3999999999996
2025-12-01,4485.599999999999,3005.0,4752.0,-266.40000000000055
2026-01-01,4019.7,1054.0,2801.0,1218.6999999999998
2026-02-01,5485.5,1912.0,3674.0,1811.5
2026-03-01,4516.2,2473.0,4217.0,299.1999999999998
2026-04-01,4904.599999999999,2512.0,4233.0,671.5999999999995
2026-05-01,5415.7,2365.0,4092.0,1323.6999999999998
2026-06-01,5979.599999999999,1651.0,3369.0,2610.5999999999995
2026-07-01,4116.099999999999,1619.0,3343.0,773.0999999999995
